Table 310-31003 : Gross Domestic Product (GDP) by major expenditure component in chained (2022) dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,,2019,2020,2021,2022,2023 r,2024 r,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023 ,2023 ,2023 ,2023 ,2024 ,2024 ,2024 ,2024 
Quarter,,,,,,,,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1 r,Q2 r,Q3 r,Q4 r,Q1 r,Q2 r,Q3 r,Q4 r
,,GDP expenditure component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP components in chained (2022) dollars (1),Year-on-year % change,Private consumption expenditure,-0.8,-10.6,5.6,-2.2,6.8,-0.6,0.9,1.6,-3.0,-2.7,-11.5,-14.5,-8.8,-7.5,2.4,7.5,6.8,5.7,-6.9,-1.1,-1.5,0.3,12.2,7.6,5.8,2.5,1.0,-1.7,-1.3,-0.2
GDP components in chained (2022) dollars (1),Year-on-year % change,Government consumption expenditure,5.1,7.9,5.9,8.0,-3.9,1.0,4.5,3.8,6.4,5.6,9.4,9.9,6.8,5.6,8.1,4.2,6.7,4.4,6.0,12.3,5.1,8.8,1.1,-8.9,-3.4,-4.7,-1.5,2.0,1.7,2.0
GDP components in chained (2022) dollars (1),Year-on-year % change,Gross domestic fixed capital formation,-14.9,-11.1,8.3,-7.4,11.4,2.4,-7.7,-14.2,-17.7,-19.6,-15.8,-21.1,-9.3,2.5,5.0,21.7,11.2,-2.2,-6.8,0.6,-14.8,-8.5,9.2,-1.0,21.9,17.2,0.4,4.4,5.7,-0.9
GDP components in chained (2022) dollars (1),Year-on-year % change,Exports of goods and services (2),-6.1,-6.7,17.0,-12.5,-6.5,4.7,-3.7,-5.2,-8.6,-6.7,-15.2,-10.2,-2.4,0.2,24.9,18.9,13.3,12.8,-4.3,-7.5,-14.5,-22.3,-14.7,-10.7,-4.9,5.1,7.2,6.5,3.8,1.9
GDP components in chained (2022) dollars (1),Year-on-year % change,     Exports of goods (f.o.b.) (2),-5.5,-1.4,18.7,-14.0,-10.0,4.7,-4.6,-6.2,-7.7,-3.3,-10.8,-3.3,2.8,4.4,30.4,20.4,13.9,13.2,-4.5,-8.5,-15.9,-24.9,-18.6,-14.8,-8.5,2.8,6.7,7.4,4.0,1.3
GDP components in chained (2022) dollars (1),Year-on-year % change,     Exports of services (2),-9.6,-34.8,3.4,-0.5,19.5,4.8,0.2,-0.3,-13.6,-24.2,-33.9,-44.0,-32.3,-27.9,-6.5,5.8,7.9,8.9,-3.7,2.7,-2.8,2.5,14.3,21.9,21.9,20.2,9.5,1.3,2.9,5.6
GDP components in chained (2022) dollars (1),Year-on-year % change,Imports of goods and services (2),-7.2,-6.9,15.8,-12.2,-5.2,3.5,-4.4,-6.3,-10.8,-7.2,-13.3,-12.1,-3.6,1.1,19.2,20.7,15.6,9.3,-5.6,-5.7,-15.4,-20.9,-11.2,-12.1,-2.8,6.0,5.2,4.4,3.6,1.4
GDP components in chained (2022) dollars (1),Year-on-year % change,     Imports of goods (f.o.b.) (2),-8.2,-3.2,17.2,-13.2,-8.3,2.4,-5.1,-7.7,-12.0,-7.8,-12.1,-7.8,0.8,5.7,23.0,21.6,16.4,9.6,-5.9,-6.1,-16.5,-23.0,-14.4,-15.7,-5.9,3.8,3.3,3.4,2.8,0.4
GDP components in chained (2022) dollars (1),Year-on-year % change,     Imports of services (2),0.1,-32.2,2.5,-1.2,25.6,11.5,1.0,4.4,-1.6,-2.9,-21.6,-41.9,-33.8,-31.5,-10.2,11.5,6.4,5.4,-2.8,-0.8,-2.8,1.6,21.4,27.5,28.3,25.2,18.4,11.8,8.9,7.8
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In Hong Kong, the first released figures on GDP by expenditure component in respect of a period are called ""advance estimates"". When more data become available, the figures will be revised. All those figures published subsequently, after the advance estimates, are called ""revised figures"". These ""revised figures"" are still subject to further regular revision later on when more data are incorporated. This routine revision is in accordance with the international practice to compile and release GDP figures at the earliest possible time by using only partial data. In general, the figures are finalised when finalised data from all regular sources are incorporated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The rate of change of GDP in real terms for 2025 is forecast to be 2% to 3%. For more information on the forecast of GDP, please visit the website of the Office of the Government Economist.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 The chained (2022) dollar series is derived by extrapolation of the current price value for the reference year (2022) backward and forward using the chain volume index as the extrapolator. As the extrapolation process is carried out for GDP and its components independently in calculating the chained dollar series, discrepancies may exist between the chain volume measure of GDP and the sum of the chain volume measures of its components.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Figures are compiled based on the change of ownership principle in recording goods sent abroad for processing and merchanting under the standards stipulated in the System of National Accounts 2008. Users should note that the figures of exports and imports of goods in this table are different from those published in external merchandise trade statistics which are not compiled based on the change of ownership principle.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r Revised figure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"National Income Section (1)1,Census and Statistics Department(Enquiry telephone no. : 2582 5077 Enquiry e-mail : gdp-e@censtatd.gov.hk)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: 26 February, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
