Table 340-46001 : Exchange Rates,,,,,,,,,,,,,,,,,,
2019,Sep,5.33,5.92,1.1014,8.63,0.110,0.0006,0.0729,0.0066,1.87,0.257,0.153,9.68,5.68,0.53,7.91,0.257,7.837
2019,Oct,5.33,5.95,1.1063,8.67,0.110,0.0006,0.0725,0.0066,1.87,0.258,0.153,9.93,5.73,0.53,7.90,0.259,7.843
2019,Nov,5.35,5.92,1.1153,8.66,0.110,0.0006,0.0719,0.0067,1.88,0.258,0.153,10.09,5.75,0.53,7.89,0.259,7.830
2019,Dec,5.37,5.92,1.1131,8.67,0.110,0.0006,0.0715,0.0066,1.88,0.258,0.153,10.24,5.75,0.54,7.94,0.259,7.807
2020,Jan,5.35,5.95,1.1227,8.64,0.109,0.0006,0.0711,0.0067,1.91,0.258,0.154,10.16,5.76,0.54,8.01,0.256,7.774
2020,Feb,5.18,5.85,1.1103,8.49,0.109,0.0006,0.0707,0.0065,1.87,0.259,0.156,10.08,5.60,0.52,7.97,0.249,7.776
2020,Mar,4.84,5.58,1.1047,8.60,0.104,0.0005,0.0722,0.0064,1.81,0.259,0.156,9.62,5.48,0.47,8.12,0.243,7.765
2020,Apr,4.88,5.51,1.0940,8.42,0.102,0.0005,0.0719,0.0063,1.78,0.259,0.156,9.61,5.44,0.42,7.98,0.238,7.752
2020,May,5.05,5.55,1.0878,8.45,0.102,0.0005,0.0723,0.0063,1.79,0.259,0.156,9.53,5.47,0.43,8.00,0.242,7.753
2020,Jun,5.34,5.72,1.0944,8.73,0.102,0.0005,0.0720,0.0064,1.81,0.260,0.156,9.71,5.56,0.45,8.14,0.249,7.752
2020,Jul,5.45,5.74,1.1059,8.89,0.103,0.0005,0.0726,0.0065,1.82,0.262,0.156,9.82,5.59,0.46,8.30,0.247,7.753
2020,Aug,5.58,5.85,1.1187,9.17,0.104,0.0005,0.0731,0.0065,1.85,0.262,0.156,10.18,5.66,0.45,8.51,0.249,7.752
2020,Sep,5.61,5.87,1.1375,9.14,0.105,0.0005,0.0734,0.0066,1.87,0.262,0.156,10.05,5.68,0.46,8.48,0.248,7.751
2020,Oct,5.52,5.87,1.1565,9.12,0.105,0.0005,0.0737,0.0068,1.87,0.263,0.160,10.06,5.70,0.47,8.50,0.249,7.752
2020,Nov,5.64,5.92,1.1754,9.18,0.104,0.0005,0.0743,0.0070,1.89,0.265,0.164,10.24,5.76,0.50,8.52,0.255,7.754
2020,Dec,5.84,6.05,1.1880,9.43,0.105,0.0005,0.0747,0.0071,1.91,0.265,0.164,10.41,5.82,0.52,8.72,0.258,7.753
2021,Jan,5.99,6.09,1.1987,9.44,0.106,0.0006,0.0747,0.0071,1.92,0.267,0.164,10.58,5.85,0.51,8.75,0.259,7.754
2021,Feb,6.01,6.11,1.2014,9.38,0.107,0.0006,0.0735,0.0070,1.92,0.271,0.164,10.75,5.84,0.52,8.63,0.259,7.754
2021,Mar,5.99,6.17,1.1925,9.25,0.107,0.0005,0.0714,0.0069,1.89,0.269,0.164,10.76,5.78,0.52,8.36,0.253,7.766
2021,Apr,5.99,6.21,1.1923,9.31,0.104,0.0005,0.0713,0.0070,1.89,0.265,0.164,10.75,5.83,0.54,8.44,0.248,7.770
2021,May,6.03,6.40,1.2083,9.43,0.106,0.0005,0.0711,0.0069,1.88,0.265,0.164,10.93,5.84,0.55,8.61,0.249,7.766
2021,Jun,5.93,6.35,1.2082,9.35,0.106,0.0005,0.0705,0.0069,1.88,0.271,0.164,10.88,5.82,0.56,8.55,0.247,7.762
2021,Jul,5.77,6.21,1.1999,9.19,0.104,0.0005,0.0705,0.0068,1.85,0.273,0.161,10.73,5.74,0.54,8.47,0.238,7.771
2021,Aug,5.68,6.18,1.2018,9.16,0.105,0.0005,0.0708,0.0067,1.84,0.274,0.157,10.74,5.75,0.53,8.52,0.236,7.785
2021,Sep,5.70,6.15,1.2054,9.16,0.106,0.0005,0.0706,0.0066,1.87,0.280,0.155,10.69,5.78,0.53,8.44,0.236,7.781
2021,Oct,5.77,6.25,1.2127,9.03,0.104,0.0005,0.0687,0.0066,1.87,0.280,0.155,10.66,5.76,0.52,8.43,0.233,7.780
2021,Nov,5.69,6.20,1.2194,8.89,0.105,0.0005,0.0683,0.0066,1.86,0.280,0.155,10.49,5.74,0.50,8.45,0.236,7.791
2021,Dec,5.57,6.09,1.2241,8.81,0.103,0.0005,0.0685,0.0066,1.85,0.280,0.155,10.37,5.72,0.49,8.47,0.233,7.799
2022,Jan,5.59,6.17,1.2253,8.82,0.105,0.0005,0.0678,0.0065,1.86,0.279,0.155,10.56,5.77,0.50,8.48,0.235,7.793
2022,Feb,5.59,6.13,1.2302,8.85,0.104,0.0005,0.0676,0.0065,1.86,0.278,0.155,10.56,5.79,0.51,8.45,0.240,7.801
2022,Mar,5.77,6.18,1.2313,8.62,0.103,0.0005,0.0660,0.0064,1.86,0.278,0.155,10.31,5.76,0.52,8.42,0.236,7.824
2022,Apr,5.77,6.21,1.2149,8.48,0.103,0.0005,0.0620,0.0063,1.83,0.270,0.150,10.13,5.74,0.52,8.30,0.232,7.843
2022,May,5.54,6.11,1.1673,8.30,0.102,0.0005,0.0610,0.0062,1.79,0.265,0.149,9.77,5.68,0.49,8.01,0.228,7.850
2022,Jun,5.51,6.12,1.1721,8.30,0.101,0.0005,0.0585,0.0061,1.78,0.265,0.146,9.67,5.67,0.50,8.09,0.225,7.849
2022,Jul,5.39,6.07,1.1650,7.99,0.099,0.0005,0.0574,0.0060,1.77,0.263,0.141,9.42,5.63,0.47,8.10,0.216,7.850
2022,Aug,5.46,6.08,1.1523,7.94,0.099,0.0005,0.0580,0.0059,1.76,0.261,0.141,9.40,5.67,0.47,8.20,0.219,7.847
2022,Sep,5.25,5.90,1.1176,7.77,0.098,0.0005,0.0549,0.0056,1.73,0.253,0.137,8.88,5.55,0.45,8.06,0.212,7.850
2022,Oct,4.99,5.73,1.0899,7.72,0.095,0.0005,0.0533,0.0055,1.67,0.246,0.134,8.86,5.51,0.43,7.89,0.207,7.851
2022,Nov,5.17,5.83,1.0914,7.99,0.096,0.0005,0.0551,0.0058,1.70,0.250,0.138,9.19,5.65,0.45,8.12,0.216,7.831
2022,Dec,5.26,5.73,1.1157,8.24,0.094,0.0005,0.0577,0.0060,1.76,0.256,0.142,9.48,5.76,0.45,8.35,0.224,7.788
2023,Jan,5.43,5.82,1.1523,8.42,0.096,0.0005,0.0600,0.0063,1.81,0.259,0.145,9.55,5.90,0.46,8.46,0.236,7.820
2023,Feb,5.42,5.84,1.1459,8.40,0.095,0.0005,0.0590,0.0061,1.80,0.262,0.146,9.48,5.89,0.44,8.48,0.231,7.848
2023,Mar,5.25,5.74,1.1377,8.40,0.095,0.0005,0.0587,0.0060,1.76,0.260,0.146,9.53,5.86,0.43,8.48,0.228,7.850
2023,Apr,5.25,5.82,1.1387,8.61,0.096,0.0005,0.0587,0.0059,1.77,0.263,0.145,9.77,5.89,0.43,8.74,0.229,7.851
2023,May,5.21,5.80,1.1198,8.52,0.095,0.0005,0.0572,0.0059,1.74,0.263,0.145,9.78,5.85,0.41,8.74,0.230,7.837
2023,Jun,5.25,5.89,1.0926,8.48,0.095,0.0005,0.0554,0.0060,1.69,0.261,0.145,9.88,5.82,0.42,8.69,0.225,7.833
2023,Jul,5.26,5.91,1.0867,8.64,0.095,0.0005,0.0554,0.0061,1.70,0.258,0.147,10.06,5.86,0.43,8.95,0.226,7.818
2023,Aug,5.08,5.81,1.0772,8.54,0.094,0.0005,0.0541,0.0059,1.70,0.253,0.143,9.94,5.79,0.42,8.91,0.224,7.826
2023,Sep,5.03,5.78,1.0718,8.36,0.094,0.0005,0.0529,0.0059,1.67,0.252,0.142,9.69,5.74,0.41,8.71,0.218,7.829
2023,Oct,4.97,5.71,1.0694,8.26,0.094,0.0005,0.0523,0.0058,1.65,0.248,0.142,9.52,5.72,0.41,8.66,0.215,7.826
2023,Nov,5.07,5.69,1.0790,8.44,0.094,0.0005,0.0521,0.0060,1.66,0.250,0.144,9.69,5.79,0.42,8.75,0.221,7.807
2023,Dec,5.22,5.81,1.0924,8.52,0.094,0.0005,0.0542,0.0060,1.68,0.256,0.145,9.88,5.86,0.42,9.02,0.224,7.810
2024,Jan,5.20,5.83,1.0886,8.53,0.094,0.0005,0.0535,0.0059,1.67,0.257,0.144,9.93,5.85,0.42,9.11,0.223,7.818
2024,Feb,5.11,5.80,1.0852,8.45,0.094,0.0005,0.0523,0.0059,1.64,0.255,0.144,9.88,5.82,0.41,8.93,0.218,7.823
2024,Mar,5.13,5.78,1.0839,8.51,0.094,0.0005,0.0523,0.0059,1.66,0.254,0.144,9.95,5.84,0.41,8.82,0.218,7.824
2024,Apr,5.09,5.72,1.0794,8.39,0.094,0.0005,0.0508,0.0057,1.64,0.249,0.142,9.80,5.77,0.41,8.61,0.213,7.832
2024,May,5.17,5.71,1.0793,8.44,0.094,0.0005,0.0501,0.0057,1.66,0.247,0.139,9.87,5.78,0.42,8.59,0.214,7.812
2024,Jun,5.19,5.70,1.0737,8.41,0.093,0.0005,0.0494,0.0057,1.66,0.247,0.137,9.93,5.78,0.42,8.74,0.213,7.811
2024,Jul,5.21,5.69,1.0729,8.47,0.093,0.0005,0.0495,0.0056,1.67,0.247,0.137,10.05,5.80,0.43,8.75,0.216,7.810
2024,Aug,5.19,5.70,1.0905,8.59,0.093,0.0005,0.0533,0.0058,1.77,0.247,0.137,10.09,5.93,0.43,9.09,0.225,7.797
2024,Sep,5.27,5.75,1.1017,8.66,0.093,0.0005,0.0545,0.0059,1.83,0.250,0.137,10.30,6.01,0.44,9.20,0.234,7.792
2024,Oct,5.21,5.65,1.0935,8.46,0.092,0.0005,0.0518,0.0057,1.81,0.248,0.137,10.13,5.93,0.44,9.02,0.233,7.771
2024,Nov,5.08,5.57,1.0783,8.27,0.092,0.0005,0.0507,0.0056,1.75,0.248,0.137,9.92,5.82,0.43,8.84,0.226,7.781
2024,Dec,4.93,5.46,1.0667,8.15,0.091,0.0005,0.0506,0.0054,1.74,0.247,0.137,9.83,5.76,0.43,8.73,0.228,7.775
2025,Jan,4.84,5.41,1.0630,8.05,0.090,0.0005,0.0496,0.0054,1.74,0.244,0.137,9.60,5.71,0.42,8.56,0.227,7.785
2025,Feb,4.90,5.44,1.0684,8.10,0.089,0.0005,0.0512,0.0054,1.75,0.243,0.137,9.75,5.78,0.42,8.61,0.231,7.784
 ,,,,,,,,,,,,,,,,,,
Note(s):,,,,,,,,,,,,,,,,,,
"Figures are the averages of the daily closing middle-market rates for the respective period. They are the telegraphic transfer rates except those for the Indonesian Rupiah, New Taiwan Dollar and Philippine Peso which are note rates.",,,,,,,,,,,,,,,,,,
"1 Euro is a unified currency of 19 European Union's member countries, which was launched on 1 January 1999. The 19 European nations are Austria, Belgium, Cyprus, Estonia, Finland, France, Germany, Greece, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, the Netherlands, Portugal, Slovakia, Slovenia and Spain.",,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,
"Trade Analysis Section,Census and Statistics Department(Enquiry telephone no. : 2582 4005Enquiry e-mail : trade@censtatd.gov.hk)",,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
"Release Date: 3 March, 2025",,,,,,,,,,,,,,,,,,
