Table 340-45021 : Hong Kong Dollar interest rates,,,,,,,,
 ,,,,,,,,
 , ,"Time deposit rate (deposits of less than HK$ 100,000) (1)","Time deposit rate (deposits of less than HK$ 100,000) (1)","Time deposit rate (deposits of less than HK$ 100,000) (1)","Time deposit rate (deposits of less than HK$ 100,000) (1)","Time deposit rate (deposits of less than HK$ 100,000) (1)","Savings deposit rate (deposits of less than HK$ 100,000) (1)",Best Lending Rate (2)
,,(Percent for annum),(Percent for annum),(Percent for annum),(Percent for annum),(Percent for annum),(Percent for annum),(Percent for annum)
Deposit period,,1 week,1 month,3 months,6 months,12 months,-,-
Year,Month,,,,,,,
2019,,0.11,0.14,0.17,0.22,0.32,0.11,5.10
2020,,0.04,0.06,0.07,0.11,0.20,[-§31],5.00
2021,,[-§31],0.02,0.02,0.04,0.10,[-§31],5.00
2022,,0.04,0.05,0.06,0.08,0.14,0.07,5.08
2023,,0.48,0.49,0.50,0.52,0.61,0.67,5.76
2024,,0.53,0.53,0.54,0.56,0.62,0.69,5.77
2019,Jan,0.11,0.14,0.17,0.22,0.33,0.13,5.13
2019,Feb,0.11,0.14,0.17,0.22,0.33,0.13,5.13
2019,Mar,0.11,0.14,0.17,0.22,0.33,0.13,5.13
2019,Apr,0.11,0.14,0.17,0.22,0.33,0.13,5.13
2019,May,0.11,0.14,0.17,0.22,0.33,0.13,5.13
2019,Jun,0.11,0.14,0.17,0.22,0.33,0.13,5.13
2019,Jul,0.11,0.14,0.17,0.22,0.33,0.13,5.13
2019,Aug,0.11,0.14,0.17,0.22,0.33,0.13,5.13
2019,Sep,0.11,0.14,0.17,0.22,0.33,0.13,5.13
2019,Oct,0.11,0.14,0.17,0.22,0.33,0.13,5.13
2019,Nov,0.11,0.14,0.17,0.22,0.33,0.02,5.00
2019,Dec,0.09,0.12,0.16,0.20,0.31,[-§31],5.00
2020,Jan,0.09,0.12,0.16,0.20,0.31,[-§31],5.00
2020,Feb,0.09,0.12,0.16,0.20,0.31,[-§31],5.00
2020,Mar,0.09,0.12,0.14,0.19,0.29,[-§31],5.00
2020,Apr,0.05,0.07,0.10,0.14,0.23,[-§31],5.00
2020,May,0.04,0.06,0.08,0.12,0.21,[-§31],5.00
2020,Jun,0.03,0.04,0.05,0.08,0.18,[-§31],5.00
2020,Jul,0.03,0.04,0.05,0.08,0.17,[-§31],5.00
2020,Aug,0.02,0.03,0.04,0.07,0.16,[-§31],5.00
2020,Sep,0.02,0.03,0.04,0.07,0.16,[-§31],5.00
2020,Oct,0.02,0.03,0.04,0.07,0.16,[-§31],5.00
2020,Nov,0.01,0.02,0.02,0.06,0.14,[-§31],5.00
2020,Dec,[-§31],0.02,0.02,0.05,0.14,[-§31],5.00
2021,Jan,[-§31],0.02,0.02,0.05,0.14,[-§31],5.00
2021,Feb,[-§31],0.02,0.02,0.05,0.14,[-§31],5.00
2021,Mar,[-§31],0.02,0.02,0.05,0.12,[-§31],5.00
2021,Apr,[-§31],0.02,0.02,0.05,0.09,[-§31],5.00
2021,May,[-§31],0.02,0.02,0.04,0.08,[-§31],5.00
2021,Jun,[-§31],0.02,0.02,0.04,0.09,[-§31],5.00
2021,Jul,[-§31],0.02,0.02,0.04,0.09,[-§31],5.00
2021,Aug,[-§31],0.02,0.02,0.04,0.09,[-§31],5.00
2021,Sep,[-§31],0.02,0.02,0.04,0.09,[-§31],5.00
2021,Oct,[-§31],0.02,0.02,0.04,0.09,[-§31],5.00
2021,Nov,[-§31],0.02,0.02,0.04,0.08,[-§31],5.00
2021,Dec,[-§31],0.02,0.02,0.04,0.08,[-§31],5.00
2022,Jan,[-§31],0.02,0.02,0.04,0.08,[-§31],5.00
2022,Feb,[-§31],0.02,0.02,0.04,0.08,[-§31],5.00
2022,Mar,[-§31],0.02,0.02,0.04,0.08,[-§31],5.00
2022,Apr,[-§31],0.02,0.02,0.04,0.08,[-§31],5.00
2022,May,[-§31],0.02,0.02,0.04,0.09,[-§31],5.00
2022,Jun,[-§31],0.02,0.03,0.05,0.11,[-§31],5.00
2022,Jul,[-§31],0.02,0.03,0.05,0.11,[-§31],5.00
2022,Aug,[-§31],0.02,0.03,0.05,0.11,[-§31],5.00
2022,Sep,0.01,0.02,0.03,0.05,0.11,0.02,5.03
2022,Oct,0.08,0.09,0.10,0.12,0.21,0.13,5.13
2022,Nov,0.14,0.15,0.16,0.18,0.29,0.30,5.35
2022,Dec,0.19,0.20,0.22,0.24,0.35,0.42,5.50
2023,Jan,0.28,0.29,0.31,0.33,0.45,0.55,5.63
2023,Feb,0.38,0.39,0.40,0.44,0.54,0.55,5.63
2023,Mar,0.44,0.45,0.46,0.49,0.59,0.55,5.63
2023,Apr,0.47,0.48,0.48,0.50,0.60,0.55,5.63
2023,May,0.48,0.49,0.50,0.51,0.61,0.62,5.73
2023,Jun,0.49,0.49,0.50,0.52,0.61,0.63,5.75
2023,Jul,0.49,0.50,0.51,0.53,0.62,0.64,5.77
2023,Aug,0.53,0.53,0.54,0.56,0.65,0.76,5.88
2023,Sep,0.55,0.55,0.56,0.58,0.66,0.76,5.88
2023,Oct,0.56,0.57,0.58,0.60,0.67,0.79,5.88
2023,Nov,0.56,0.57,0.58,0.60,0.67,0.79,5.88
2023,Dec,0.56,0.57,0.58,0.60,0.67,0.79,5.88
2024,Jan,0.56,0.57,0.58,0.60,0.67,0.79,5.88
2024,Feb,0.56,0.57,0.58,0.60,0.67,0.79,5.88
2024,Mar,0.56,0.57,0.58,0.60,0.67,0.79,5.88
2024,Apr,0.56,0.57,0.58,0.60,0.67,0.79,5.88
2024,May,0.56,0.57,0.58,0.60,0.65,0.79,5.88
2024,Jun,0.56,0.57,0.58,0.60,0.65,0.79,5.88
2024,Jul,0.56,0.57,0.58,0.60,0.65,0.79,5.88
